"Xu hướng","Lượng tìm kiếm","Đã bắt đầu","Đã kết thúc","Bảng chi tiết về xu hướng","Đường liên kết khám phá"
"barcelona đấu với dortmund","100 N+","lúc 01:00:00 UTC+7 10 tháng 4, 2025",,"barcelona đấu với dortmund,barcelona – dortmund,barcelona vs dortmund,raphinha,barca vs,ket qua c1,barcelona,kết quả cúp c1,truc tiep bong da,trực tiếp bóng đá,barcelona vs,kết quả bóng đá cúp c1,kết quả bóng đá c1,dortmund,kết quả cúp c1 châu âu,barca vs dor,cúp c1 châu âu,barca vs dortmund soi kèo,bóng đá trực tiếp,bóng đá,tin bong da,tỷ số bóng đá,c1 chau au,24h bong da,the thao,soi kèo barcelona vs dortmund,nhận định barca vs dortmund","https://trends.google.com.vn/trends/explore?q=barcelona%20%C4%91%E1%BA%A5u%20v%E1%BB%9Bi%20dortmund&geo=VN&hl=vi"
"inter miami đấu với lafc","20 N+","lúc 06:10:00 UTC+7 10 tháng 4, 2025",,"inter miami đấu với lafc,inter miami vs,inter miami – lafc,inter miami vs lafc,24h bóng đá","https://trends.google.com.vn/trends/explore?q=inter%20miami%20%C4%91%E1%BA%A5u%20v%E1%BB%9Bi%20lafc&geo=VN&hl=vi"
"vạn hạnh mall","20 N+","lúc 18:50:00 UTC+7 9 tháng 4, 2025",,"vạn hạnh mall,vạn hạnh mall nhảy lầu,van hanh mall,vạn hạnh mall tự tử,vạn hạnh mall có biến,vạn hanh mall,tự tử vạn hạnh mall","https://trends.google.com.vn/trends/explore?q=v%E1%BA%A1n%20h%E1%BA%A1nh%20mall&geo=VN&hl=vi"
"psg vs aston","20 N+","lúc 00:00:00 UTC+7 10 tháng 4, 2025",,"psg vs aston,psg,psg vs,aston villa,psg aston villa,kqbd c1,aston villa psg,xem bóng đá trực tuyến,trực tiếp bóng đá hôm nay,trận đấu cúp c1,aston villa vs,psg fc,xem bóng đá,c1 hom nay,c1 tối nay","https://trends.google.com.vn/trends/explore?q=psg%20vs%20aston&geo=VN&hl=vi"
"tirsense đấu với benfica","5 N+","lúc 02:30:00 UTC+7 10 tháng 4, 2025",,"tirsense đấu với benfica,benfica vs","https://trends.google.com.vn/trends/explore?q=tirsense%20%C4%91%E1%BA%A5u%20v%E1%BB%9Bi%20benfica&geo=VN&hl=vi"
"ssi","5 N+","lúc 08:50:00 UTC+7 10 tháng 4, 2025",,"ssi,vnindex,chứng khoán hôm nay,chứng khoán,vietstock,vn index,chung khoan,thị trường chứng khoán hôm nay,vn30,giá cổ phiếu hpg,thị trường chứng khoán,cổ phiếu","https://trends.google.com.vn/trends/explore?q=ssi&geo=VN&hl=vi"
"u17 việt nam u17 uae","10 N+","lúc 17:20:00 UTC+7 9 tháng 4, 2025",,"u17 việt nam u17 uae,u17 vn vs u17 uae,lịch thi đấu u17 việt nam,u17 việt nam vs u17 uae,xem trực tiếp bóng đá,bóng đá trực tuyến,lịch thi đấu u17 viet nam,truc tiep bong da hom nay,lịch thi đấu u17,u17 world cup","https://trends.google.com.vn/trends/explore?q=u17%20vi%E1%BB%87t%20nam%20u17%20uae&geo=VN&hl=vi"
"inter miami","5 N+","lúc 03:50:00 UTC+7 10 tháng 4, 2025",,"inter miami,messi,miami,lionel messi","https://trends.google.com.vn/trends/explore?q=inter%20miami&geo=VN&hl=vi"
"xổ số miền nam ngày 9 tháng 4","50 N+","lúc 16:30:00 UTC+7 9 tháng 4, 2025",,"xổ số miền nam ngày 9 tháng 4,xổ số đồng nai ngày 9 tháng 4,xổ số sóc trăng ngày 9 tháng 4,xổ số ngày 9 tháng 4,xsmn 9/4/2025,xổ số miền trung hôm nay,xsst,xổ số miền nam ngày 9 tháng 4 năm 2025,xổ số đồng nai ngày 9 tháng,sxmt,xổ số miền bắc - xổ số miền bắc,xs mt,so xo mien nam,trực tiếp xổ số miền nam,xổ số miền trung thứ từ,kết quả xổ số miền nam hôm nay,xổ số hà nội hôm nay,xổ số miền nam thứ năm,xsct,trực tiếp kết quả xổ số miền bắc,xổ số thứ năm,xổ số miền nam thứ tư,xsmn 9/4/25,kết quả xổ số miền trung hôm nay,xổ số miền nam thứ từ hàng tuần,xổ số đồng nai,ket qua,xs mien nam,trực tiếp xổ số miền trung,số miền trung hôm nay,xổ số cần thơ ba đài,sxmt hôm nay","https://trends.google.com.vn/trends/explore?q=x%E1%BB%95%20s%E1%BB%91%20mi%E1%BB%81n%20nam%20ng%C3%A0y%209%20th%C3%A1ng%204&geo=VN&hl=vi"
"cúp vô địch các câu lạc bộ concacaf","1 N+","lúc 04:00:00 UTC+7 10 tháng 4, 2025",,"cúp vô địch các câu lạc bộ concacaf","https://trends.google.com.vn/trends/explore?q=c%C3%BAp%20v%C3%B4%20%C4%91%E1%BB%8Bch%20c%C3%A1c%20c%C3%A2u%20l%E1%BA%A1c%20b%E1%BB%99%20concacaf&geo=VN&hl=vi"
